Telugu_sentence,English_sentence,source
డచ్ శాస్త్రవేత్త “జాన్ ఇంజిన్ హౌజ్” (1780-1799) ఈ (ప్రశ్నకు సమాధానం కనుగొనగలిగాడు.,The Dutch scientist “Jan Eng Hauze” (1780-1799) was able to find the answer to this question.,tides
మొక్కలు ఆక్సిజన్ను ఎలా ఏర్పరుస్తాయో తెలుసుకోవడానికి నిరంతరం అధ్యయనం చేశాడు.,He constantly studied how plants form oxygen.,tides
1779వ సంవత్సరంలో కాంతి సమక్షంలోనే మొక్కలు ఆక్సిజన్ను,"In 1779, plants produced oxygen in the presence of light",ted
ఏర్పరుస్తాయని తెలుసుకున్నాడు.,He learned that they will form.,tides
"హైడ్రిల్లా అనే నీటి మొక్కతో ప్రయోగాలు నిర్వహించేటప్పుడు ప్రకాశవంతమైన కాంతిలో ఉంచినపుడు హైడ్రిల్లా మొక్కలోని ఆకుపచ్చని భాగాల చుట్టూ గాలి బుడగలు ఏర్పడటం, చీకటిలో ఉంచినపుడు ఏర్పడక పోవడం గమనించాడు. ","While conducting experiments with the water plant called hydrilla, he noticed that air bubbles formed around the green parts of the hydrilla plant when kept in bright light, but not when kept in the dark.",tides
ఈ గాలి బుడగలలో ఆక్సిజన్ వాయువు ఉందని తెలుసుకున్చాడు.,He found out that these air bubbles contain oxygen gas.,indic2012
ఈ విషయాన్ని £20వ శతాబ్దంలో 'ఎంగల్పొన్” అనే శాస్రవేత్త Fog,"This is what Fog, a scientist called 'Engalpon', did in the 20th century",tides
కిరణజన్యసంయోగక్రియ జరిగే స్థానాన్ని కనుగొనడంతో మరింత స్పష్టంగా నిర్ధారణ జరిగింది.,A more definite diagnosis was made with the discovery of the site of photosynthesis.,indic2012
ఇతను శైవలాల సమూహాలపై ఇంద్రధనస్సులో కనబడే రంగుల వంటి వివిధ రంగుల,It is of different colors like the colors seen in the rainbow on clusters of algae,indic2012
కాంతులు సోకే విధంగా చేసాడు.,He made the lights contagious.,ted
తరువాత ఆక్సిజన్ ఉత్తేజిత బ్యాక్టీరియాలపై ప్రకాశవంతమైన,Then the oxygen is bright on the activated bacteria,indic2012
ఎరుపు మరియు నీలి రంగు కాంతికిరణాలను ప్రసరింపజేసిపుడు అవి గుంపులుగా ఏర్పడడం,They cluster when they emit red and blue light rays,tides
